"","session_id","dPlt","sex","age","orgn"
"743",9860978,"0","f",51,"uk"
"744",9860969,"3","m",35,"us"
"745",9861006,"-1","f",47,"us"
"746",9861008,"2","m",28,"us"
"747",9861033,"2","m",56,"us"
"748",9861023,"3","f",23,"us"
"749",9861037,"0","f",18,"za"
"750",9861081,"0","m",40,"us"
"751",9861088,"-1","f",58,"us"
"752",9861226,"0","m",48,"us"
"753",9861115,,"m",47,"uk"
"754",9861198,"0","f",24,"us"
"755",9861135,,"f",31,"us"
"756",9861144,"2","f",54,"ca"
"757",9861154,"0","m",44,"us"
"758",9861162,"1","m",46,"pk"
"759",9861171,"2","m",19,"pl"
"760",9861195,"3","m",43,"us"
"761",9861191,"3","f",27,"us"
"762",9861193,"2","m",55,"us"
